sample,chr1,chr2,chr3,chr4,chr5,chr6,chr7,chr8,chr9,chr10,chr11,chr12,chr13,chr14,chr15,chr16,chr17,chr18,chr19,chr20,chr21,chr22,chrX,chrY
S_0,2377,2309,2242,2134,2060,1868,1846,1654,1618,1534,1385,1263,1191,1094,989,913,802,719,612,485,402,298,204,98
S_1,2393,2362,2148,2157,2052,1906,1829,1659,1629,1531,1379,1322,1165,1122,996,880,788,699,597,488,399,304,205,102
S_2,2405,2282,2178,2046,1955,1893,1785,1730,1553,1465,1379,1267,1174,1114,1000,901,796,679,605,487,390,306,203,97
S_3,2332,2334,2258,2140,2032,1873,1821,1716,1639,1530,1418,1326,1215,1131,1011,891,798,704,593,497,390,292,197,102
S_4,2452,2348,2230,2050,2048,1942,1749,1721,1570,1464,1408,1311,1175,1112,1004,901,793,695,593,491,393,295,204,100
S_5,2337,2272,2146,2139,2011,1944,1794,1698,1616,1525,1434,1267,1231,1082,994,927,794,710,610,510,396,299,200,101
S_6,2375,2330,2196,2150,2035,1897,1852,1725,1575,1515,1400,1302,1228,1132,1016,908,815,692,587,501,398,294,200,102
S_7,2404,2331,2263,2097,1962,1938,1854,1649,1631,1515,1362,1319,1221,1100,977,881,784,680,606,487,406,308,199,97
S_8,2441,2363,2185,2055,2005,1860,1781,1748,1599,1541,1407,1316,1167,1067,1023,909,778,703,616,506,395,292,196,97
S_9,2457,2313,2200,2085,2042,1889,1849,1699,1586,1481,1396,1334,1192,1117,972,898,810,690,583,504,402,307,197,98
